,Effect,"=IFERROR(C58-C56,"""")","=IFERROR(D58-D56,"""")","=IFERROR(E58-E56,"""")","=IFERROR((F58-F56)/ABS(F56),"""")","=IFERROR((G58-G56)/ABS(G56),"""")","=IFERROR((H58-H56)/ABS(H56),"""")","=IFERROR((I58-I56)/ABS(I56),"""")"
,p-value,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WebTestBench_0063,Baseline,=metrics!E132,=metrics!F132,=metrics!G132,=metrics!Q132,=metrics!R132,=metrics!S132,=metrics!J132
,± 95% CI,=metrics!E133,=metrics!F133,=metrics!G133,=metrics!Q133,=metrics!R133,=metrics!S133,=metrics!J133
,Hinted,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,± 95% CI,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,Effect,"=IFERROR(C64-C62,"""")","=IFERROR(D64-D62,"""")","=IFERROR(E64-E62,"""")","=IFERROR((F64-F62)/ABS(F62),"""")","=IFERROR((G64-G62)/ABS(G62),"""")","=IFERROR((H64-H62)/ABS(H62),"""")","=IFERROR((I64-I62)/ABS(I62),"""")"
,p-value,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WebTestBench_0074,Baseline,=metrics!E144,=metrics!F144,=metrics!G144,=metrics!Q144,=metrics!R144,=metrics!S144,=metrics!J144
,± 95% CI,=metrics!E145,=metrics!F145,=metrics!G145,=metrics!Q145,=metrics!R145,=metrics!S145,=metrics!J145
,Hinted,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,± 95% CI,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,Effect,"=IFERROR(C70-C68,"""")","=IFERROR(D70-D68,"""")","=IFERROR(E70-E68,"""")","=IFERROR((F70-F68)/ABS(F68),"""")","=IFERROR((G70-G68)/ABS(G68),"""")","=IFERROR((H70-H68)/ABS(H68),"""")","=IFERROR((I70-I68)/ABS(I68),"""")"
,p-value,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WebTestBench_0089,Baseline,=metrics!E156,=metrics!F156,=metrics!G156,=metrics!Q156,=metrics!R156,=metrics!S156,=metrics!J156
,± 95% CI,=metrics!E157,=metrics!F157,=metrics!G157,=metrics!Q157,=metrics!R157,=metrics!S157,=metrics!J157
,Hinted,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,± 95% CI,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,Effect,"=IFERROR(C76-C74,"""")","=IFERROR(D76-D74,"""")","=IFERROR(E76-E74,"""")","=IFERROR((F76-F74)/ABS(F74),"""")","=IFERROR((G76-G74)/ABS(G74),"""")","=IFERROR((H76-H74)/ABS(H74),"""")","=IFERROR((I76-I74)/ABS(I74),"""")"
,p-value,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WebTestBench_0097,Baseline,=metrics!E168,=metrics!F168,=metrics!G168,=metrics!Q168,=metrics!R168,=metrics!S168,=metrics!J168
,± 95% CI,=metrics!E169,=metrics!F169,=metrics!G169,=metrics!Q169,=metrics!R169,=metrics!S169,=metrics!J169
,Hinted,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,± 95% CI,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,Effect,"=IFERROR(C82-C80,"""")","=IFERROR(D82-D80,"""")","=IFERROR(E82-E80,"""")","=IFERROR((F82-F80)/ABS(F80),"""")","=IFERROR((G82-G80)/ABS(G80),"""")","=IFERROR((H82-H80)/ABS(H80),"""")","=IFERROR((I82-I80)/ABS(I80),"""")"
,p-value,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mean effect,,"=IFERROR(AVERAGE({C6;C12;C18;C24;C30;C36;C42;C48;C54;C60;C66;C72;C78;C84}),"""")","=IFERROR(AVERAGE({D6;D12;D18;D24;D30;D36;D42;D48;D54;D60;D66;D72;D78;D84}),"""")","=IFERROR(AVERAGE({E6;E12;E18;E24;E30;E36;E42;E48;E54;E60;E66;E72;E78;E84}),"""")","=IFERROR(AVERAGE({F6;F12;F18;F24;F30;F36;F42;F48;F54;F60;F66;F72;F78;F84}),"""")","=IFERROR(AVERAGE({G6;G12;G18;G24;G30;G36;G42;G48;G54;G60;G66;G72;G78;G84}),"""")","=IFERROR(AVERAGE({H6;H12;H18;H24;H30;H36;H42;H48;H54;H60;H66;H72;H78;H84}),"""")","=IFERROR(AVERAGE({I6;I12;I18;I24;I30;I36;I42;I48;I54;I60;I66;I72;I78;I84}),"""")"
± 95% CI,,"=IFERROR(CONFIDENCE.T(0.05,STDEV({C6;C12;C18;C24;C30;C36;C42;C48;C54;C60;C66;C72;C78;C84}),COUNT({C6;C12;C18;C24;C30;C36;C42;C48;C54;C60;C66;C72;C78;C84})),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV({D6;D12;D18;D24;D30;D36;D42;D48;D54;D60;D66;D72;D78;D84}),COUNT({D6;D12;D18;D24;D30;D36;D42;D48;D54;D60;D66;D72;D78;D84})),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV({E6;E12;E18;E24;E30;E36;E42;E48;E54;E60;E66;E72;E78;E84}),COUNT({E6;E12;E18;E24;E30;E36;E42;E48;E54;E60;E66;E72;E78;E84})),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV({F6;F12;F18;F24;F30;F36;F42;F48;F54;F60;F66;F72;F78;F84}),COUNT({F6;F12;F18;F24;F30;F36;F42;F48;F54;F60;F66;F72;F78;F84})),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV({G6;G12;G18;G24;G30;G36;G42;G48;G54;G60;G66;G72;G78;G84}),COUNT({G6;G12;G18;G24;G30;G36;G42;G48;G54;G60;G66;G72;G78;G84})),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV({H6;H12;H18;H24;H30;H36;H42;H48;H54;H60;H66;H72;H78;H84}),COUNT({H6;H12;H18;H24;H30;H36;H42;H48;H54;H60;H66;H72;H78;H84})),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV({I6;I12;I18;I24;I30;I36;I42;I48;I54;I60;I66;I72;I78;I84}),COUNT({I6;I12;I18;I24;I30;I36;I42;I48;I54;I60;I66;I72;I78;I84})),0)"
p-value,,"=IFERROR(T.TEST({C6;C12;C18;C24;C30;C36;C42;C48;C54;C60;C66;C72;C78;C84},{0;0;0;0;0;0;0;0;0;0;0;0;0;0},2,1),""n/a"")","=IFERROR(T.TEST({D6;D12;D18;D24;D30;D36;D42;D48;D54;D60;D66;D72;D78;D84},{0;0;0;0;0;0;0;0;0;0;0;0;0;0},2,1),""n/a"")","=IFERROR(T.TEST({E6;E12;E18;E24;E30;E36;E42;E48;E54;E60;E66;E72;E78;E84},{0;0;0;0;0;0;0;0;0;0;0;0;0;0},2,1),""n/a"")","=IFERROR(T.TEST({F6;F12;F18;F24;F30;F36;F42;F48;F54;F60;F66;F72;F78;F84},{0;0;0;0;0;0;0;0;0;0;0;0;0;0},2,1),""n/a"")","=IFERROR(T.TEST({G6;G12;G18;G24;G30;G36;G42;G48;G54;G60;G66;G72;G78;G84},{0;0;0;0;0;0;0;0;0;0;0;0;0;0},2,1),""n/a"")","=IFERROR(T.TEST({H6;H12;H18;H24;H30;H36;H42;H48;H54;H60;H66;H72;H78;H84},{0;0;0;0;0;0;0;0;0;0;0;0;0;0},2,1),""n/a"")","=IFERROR(T.TEST({I6;I12;I18;I24;I30;I36;I42;I48;I54;I60;I66;I72;I78;I84},{0;0;0;0;0;0;0;0;0;0;0;0;0;0},2,1),""n/a"")"
